restaurant_id,restaurant_name,city,area,cuisine,avg_rating,total_ratings,price_range,delivery_available,order_id,restaurant_id,customer_id,order_date,order_time,delivery_time,total_cost,item_count,payment_method,customer_rating
8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No,7f4f158c,8bb9a4b0,764df6e0,2024-09-25,2:10,61,1479.51,7,"Net Banking",3
8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No,2136abab,8bb9a4b0,fd502b2c,2024-06-13,17:26,87,955.78,9,"Credit Card",4.4
8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No,5fd17ba3,8bb9a4b0,19524a94,2024-11-19,3:44,86,1110.16,6,"Net Banking",4.1
8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No,8e2a5aa4,8bb9a4b0,21ce9b4a,2024-12-27,14:43,30,705.27,4,UPI,4.7
8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No,f11acb64,8bb9a4b0,57a6f3bc,2024-04-10,17:00,82,145.45,4,COD,2
8810c9aa,Restaurant_1,Chennai,Area_D,Italian,4.7,2847,Medium,Yes,e3d020b5,8810c9aa,d43d8334,2024-09-25,17:44,41,1996.52,8,COD,2.9
8810c9aa,Restaurant_1,Chennai,Area_D,Italian,4.7,2847,Medium,Yes,38122551,8810c9aa,751df855,2024-02-19,23:18,55,451.06,1,"Credit Card",2.1
8810c9aa,Restaurant_1,Chennai,Area_D,Italian,4.7,2847,Medium,Yes,bee9844d,8810c9aa,3e62d976,2024-04-27,19:59,87,725.05,4,Wallet,4.8
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,f5ece591,bfbb1501,dd43c759,2024-11-23,0:00,41,791,6,Wallet,2.3
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,9a30aa0c,bfbb1501,22bd2351,2024-10-17,18:48,60,1529.35,6,"Net Banking",2.8
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,1e4d6290,bfbb1501,70bd44c0,2024-04-10,23:08,25,1829.38,9,Wallet,1.8
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,c607e652,bfbb1501,f6ea3d51,2024-06-06,7:53,82,829.22,1,"Credit Card",2.8
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,34e50684,bfbb1501,4b34ad66,2024-01-01,2:35,57,800.47,8,UPI,3.2
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,87f51ddf,bfbb1501,79d52f33,2024-05-09,14:27,63,134.73,1,"Net Banking",2.2
bfbb1501,Restaurant_2,Mumbai,Area_A,Chinese,4.1,2773,High,No,2f3bde66,bfbb1501,7f1e90e9,2024-01-27,1:36,54,462.92,8,Wallet,1.4
4f2f2dc8,Restaurant_3,Chennai,Area_D,Mexican,5,4172,High,Yes,25f8854d,4f2f2dc8,91de77f4,2024-07-28,21:17,82,1867.53,6,"Credit Card",2.4
4f2f2dc8,Restaurant_3,Chennai,Area_D,Mexican,5,4172,High,Yes,fa900d3e,4f2f2dc8,2845869e,2024-12-13,0:16,89,137.77,10,COD,2.9
